"MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted","AXP.Open","AXP.High","AXP.Low","AXP.Close","AXP.Volume","AXP.Adjusted","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted","CVX.Open","CVX.High","CVX.Low","CVX.Close","CVX.Volume","CVX.Adjusted","CSCO.Open","CSCO.High","CSCO.Low","CSCO.Close","CSCO.Volume","CSCO.Adjusted","KO.Open","KO.High","KO.Low","KO.Close","KO.Volume","KO.Adjusted","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted","RTX.Open","RTX.High","RTX.Low","RTX.Close","RTX.Volume","RTX.Adjusted","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted","VZ.Open","VZ.High","VZ.Low","VZ.Close","VZ.Volume","VZ.Adjusted","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume","DIS.Adjusted"
156.410004,157.669998,156.169998,156.899994,2259000,139.438217,72,72.440002,71.57,72.199997,4193500,67.102112,118.75,118.809998,116.860001,117.339996,34852400,109.39138,146.539993,149.399994,146.470001,147.740005,3444300,131.482529,72.330002,72.639999,70.849998,71.559998,6578400,62.198826,90.970001,92.650002,90.970001,92.480003,6975500,77.879829,27.200001,27.65,27.200001,27.57,31406300,23.876007,42.73,43.099998,42.73,42.889999,11153000,37.325367,101.730003,102.489998,101.120003,102.360001,7545700,91.291397,66.059998,66.709999,65.959999,66.654999,6857000,62.945732,74.870003,76.220001,74.870003,75.940002,8391700,66.589539,60.440529,61.327881,60.42794,60.855885,7302200,55.122265,113.529999,116.370003,113.050003,116.260002,5467000,108.287361,45.509998,45.889999,45.330002,45.580002,10580000,37.304028,114.150002,115.459999,113.660004,115.389999,8896100,108.170502
156.880005,157.25,155.509995,155.699997,2034700,138.371796,72.139999,72.440002,71.059998,71.199997,4146000,66.172729,117.339996,118.110001,116.080002,116.279999,33386600,108.403198,147.550003,148.029999,146.380005,146.960007,2648800,130.788361,71.199997,72.129997,70.620003,71.029999,5068200,61.738159,92.599998,92.690002,90.029999,90.25,11830700,76.001884,27.49,27.9,27.370001,27.440001,29178200,23.763426,42.830002,42.93,42.59,42.77,12598500,37.220936,102.5,102.93,101.989998,102.050003,6623500,91.014915,66.425003,66.610001,66.050003,66.324997,7965600,62.634117,75.730003,76.459999,75.650002,75.790001,8104200,66.458008,60.704845,60.937698,59.86784,59.943359,6185200,54.295712,116.239998,119.379997,116.110001,117.639999,6071100,110.046005,45.450001,45.549999,44.869999,44.919998,12160400,36.763866,115.389999,115.470001,113.830002,114,7787800,106.867477
156.559998,156.899994,153.710007,154.380005,2609500,137.198685,71.410004,71.699997,70.120003,70.419998,6807800,65.447815,116.550003,116.790001,114.220001,115.199997,41569500,107.396332,147.050003,147.630005,144.279999,145.559998,3008700,129.542404,71.150002,71.220001,69.370003,69.639999,8130800,60.530003,90.809998,91.419998,88.360001,88.849998,10996800,74.822914,27.629999,27.690001,26.82,26.950001,25783800,23.339077,42.73,42.889999,42.32,42.459999,15004400,36.951153,102.269997,102.370003,100.309998,100.790001,12008700,89.891159,66.555,66.68,64.5,64.559998,10649800,60.967323,75.830002,76.199997,75.169998,75.739998,11177800,66.414154,59.974827,60.28949,59.408432,59.597233,9664300,53.982193,117.800003,118.279999,114.43,115,4286600,107.576416,44.880001,45.049999,44.330002,44.560001,17077700,36.469231,114.169998,114.650002,111.440002,111.889999,10446600,104.889488
154.789993,158.389999,154.570007,158.220001,2175800,140.611282,70.5,71.309998,70.360001,71.099998,4993400,66.079796,115.290001,119.25,115.110001,119.029999,57777000,110.966904,146.350006,148.779999,146.089996,148.5,3892900,132.158875,69.360001,70.029999,68.800003,69.980003,5252000,60.825527,87.900002,89.82,86.489998,89.709999,13170200,75.547142,26.950001,27.549999,26.950001,27.48,28143700,23.798061,42.580002,43.48,42.580002,43.290001,16488000,37.67347,101.400002,103,101.279999,102.949997,7845400,91.817581,64.900002,66.459999,64.900002,66.165001,7410400,62.483017,75.980003,77.900002,75.919998,77.830002,11961000,68.246796,59.779736,60.811832,59.65387,60.245438,14664700,54.569328,115.589996,118.25,115.239998,117.739998,3588200,110.139557,44.740002,45.779999,44.709999,45.709999,14158600,37.410431,112.739998,114.309998,112.529999,114.239998,8771300,107.092453
157.529999,158,156.809998,157.75,2142800,140.193604,70.82,71.089996,70.169998,70.610001,5926400,65.62439,118.980003,119.860001,117.809998,118.279999,32084200,110.267715,148.300003,149.5,147.320007,148.449997,3417700,132.114395,68.68,68.730003,67.720001,68.360001,6805900,59.417446,87.480003,87.940002,84.900002,87.279999,15378900,73.500778,27.559999,27.559999,27.26,27.49,15350200,23.806726,43.310001,43.439999,43,43.200001,12030700,37.59515,102.610001,103.489998,102.599998,103.32,7262900,92.147583,66.375,66.449997,65.305,65.800003,6190000,62.440323,77.540001,78.5,77.540001,78.370003,9460000,68.720306,60.176212,60.572689,60.018879,60.358715,7438400,54.671925,117.889999,117.889999,115.199997,115.910004,3164300,108.427696,45.459999,46.119999,45.450001,46.060001,13192100,37.696873,114.559998,114.559998,112.650002,113.830002,6738500,106.708099
156.440002,157.860001,155.679993,156.789993,2350400,139.340469,70.040001,70.150002,69.309998,69.910004,7669100,64.973824,117.519997,118.599998,116.860001,118.230003,34309500,110.221092,146.820007,147.229996,144.649994,144.990005,5021100,129.035141,66.989998,67.160004,66.18,66.540001,6866300,57.835537,85.809998,88,84.25,86.440002,13397500,72.793381,27.17,27.290001,27.02,27.15,18635700,23.512281,43.049999,43.25,42.799999,43.009998,10736200,37.429802,102.980003,103.239998,101.910004,102.419998,8005400,91.344894,65.434998,66.370003,65.214996,65.849998,5605800,62.487755,77.68,78.5,77.349998,77.75,8312700,68.176666,59.773441,59.987415,59.093769,59.301449,11141800,53.714283,114.949997,116.349998,113.949997,115.879997,3551900,108.399612,45.669998,45.990002,45.439999,45.700001,13776100,37.402245,113.349998,113.449997,112.400002,112.480003,7480600,105.442566
156.169998,158.240005,154.940002,156.050003,2660800,138.6828,69.440002,70.800003,69.349998,69.860001,6910700,64.927345,117.639999,117.690002,115.080002,115.620003,46361400,107.787888,144.600006,145.690002,142.270004,144.240005,5124600,128.367691,66.300003,67.019997,65.160004,65.910004,8578000,57.287952,86.669998,90.139999,86.300003,87.599998,14675800,73.770248,26.959999,27.35,26.66,26.73,24127400,23.148552,42.779999,43.27,42.5,42.66,12945500,37.125214,102.139999,103.339996,101.669998,102.150002,7947000,91.104088,65.379997,65.769997,63.869999,64.419998,7442800,61.130768,77.599998,78.989998,77.440002,77.699997,10081900,68.132797,58.892384,60.151039,58.659534,59.257393,10982200,53.674377,115.400002,116.82,114.660004,115.050003,3839100,107.623215,45.580002,46.130001,45.119999,45.360001,13467900,37.123978,112.389999,113.059998,110.580002,111.470001,9050700,104.495773
155.729996,158.690002,155.589996,157.520004,2551200,139.989197,69.739998,70.650002,69.610001,70.110001,4783000,65.159691,116.040001,116.940002,115.510002,116.169998,29212700,108.300644,144.619995,147.460007,144.160004,146.410004,3278500,130.298904,65.980003,67.089996,65.910004,66.379997,5768700,57.696465,88,90.459999,87.610001,89.300003,14534800,75.201859,26.74,27.040001,26.66,26.77,23382400,23.183193,42.73,43.07,42.529999,42.759998,15483300,37.212242,102.300003,103.339996,101.800003,102.639999,6479300,91.541115,64.360001,64.82,64.004997,64.32,5682600,61.035873,77.910004,78.540001,77.57,77.790001,8984200,68.211731,59.200756,59.57835,57.665199,59.07489,9238600,53.509068,115.050003,117.050003,114.339996,116.209999,3202600,108.708321,45.470001,45.66,45.200001,45.32,10402500,37.09124,111.150002,111.580002,110.169998,110.760002,7030200,104.495773
155.550003,156.399994,154.419998,154.830002,2523200,137.598587,69.040001,69.830002,68.480003,68.860001,9094300,63.997952,115.190002,115.389999,112.849998,113.18,46886200,105.513168,145,145.699997,143.720001,144.619995,3684700,128.705887,65.379997,66.099998,64.480003,65.43,7572600,56.870735,87.849998,87.910004,86.089996,86.440002,13186900,72.793381,26.49,26.49,26.129999,26.16,34295700,22.654924,42.630001,42.830002,42.139999,42.27,17313400,36.785801,102.370003,102.370003,101.43,101.68,7796500,90.684914,63.810001,63.869999,62.834999,63.145,8276000,59.920872,77.510002,78.330002,77.110001,77.779999,12280500,68.202988,58.533669,59.553177,58.483322,58.716175,15798800,53.184147,116.209999,117.339996,114.620003,115.980003,3830800,108.493172,45.32,45.349998,44.73,44.82,16481900,36.682026,110.760002,110.760002,107.620003,108.040001,12334900,101.929611
155.289993,157.770004,154.339996,157.630005,3462200,140.08699,68.989998,69.419998,67.800003,68.830002,6393000,63.970081,112.18,112.68,109.790001,112.480003,64318700,104.860588,144.5,144.5,141.460007,143,4845000,127.264145,65.629997,66.18,64.730003,66.120003,7371100,57.470478,86.300003,89.589996,85.410004,89.330002,12430700,75.227142,26.299999,26.52,25.959999,26.49,32642100,22.940714,42.310001,42.759998,41.970001,42.450001,20092900,36.942455,101.650002,102.290001,100.779999,102.150002,10641500,91.104088,63.314999,64.165001,63.060001,63.93,7991400,60.665787,77.629997,78.529999,77.440002,78.290001,12179000,68.650185,58.716175,58.886093,58.023914,58.546257,10722900,53.030228,115.879997,116.739998,114.43,115.849998,3867200,108.371552,44.84,45.5,44.68,45.450001,16723100,37.197624,108.68,109.870003,108.279999,109.349998,9702600,103.165512
151.990005,153.020004,147.080002,148.130005,8645900,131.644241,69.75,70.639999,69.589996,70.150002,6247200,65.196892,111.940002,112.800003,110.349998,110.489998,53323100,103.005409,145.660004,147.100006,144.119995,146.529999,4705300,130.405716,65.459999,66.959999,65.239998,66.75,6061200,58.018066,90.580002,93.400002,90.550003,92.760002,19158500,78.115616,26.719999,27.110001,26.610001,26.85,30393700,23.252481,42.84,43.240002,42.759998,43.07,17916400,37.48201,102.650002,104.690002,102.650002,104.129997,9283200,92.869987,64.800003,65,64.175003,64.305,6869600,61.021641,78.709999,80,78.480003,79.68,14113400,69.869034,58.955318,59.57206,58.672119,58.691002,10516000,53.161339,116.870003,118.5,116.660004,117.610001,3124100,110.017952,45.52,45.860001,45.209999,45.549999,16742600,37.279484,112.050003,113.349998,111.580002,112.160004,13361700,105.816589
148.149994,150.539993,147.740005,149.949997,4774100,133.261703,70.709999,70.959999,69.800003,70.709999,5581800,65.717331,111.07,111.989998,108.800003,111.339996,56238500,103.797813,147.979996,148.610001,146.229996,148.110001,3316000,131.811798,66.220001,67.879997,66.139999,67.720001,6747600,58.861168,92.580002,93.82,90.809998,93.440002,16917900,78.688255,27,27.290001,26.68,27.24,22731500,23.590221,43.25,43.91,43.25,43.84,21868600,38.152111,104.639999,105.489998,103.519997,105.25,8178800,93.868874,64.684998,65.599998,64.410004,65.464996,7542200,62.122421,79.980003,81.230003,79.800003,80.989998,14102600,71.017715,59.137821,60.056641,58.804279,59.86784,15680700,54.227306,118.300003,119.760002,116.900002,118.830002,3516900,111.159187,45.93,46.57,45.700001,46.509998,18808300,38.065159,114.690002,114.75,111.800003,113.790001,12304500,107.354401
150.149994,150.860001,148.830002,148.850006,3053900,132.284149,70.790001,70.959999,69.410004,69.57,4800000,64.657829,112.019997,112.25,108.980003,108.980003,44772800,101.597687,148.850006,149.800003,145.5,145.559998,3448800,129.542404,67.18,67.510002,64.879997,64.900002,6800000,56.410072,93.5,94,90.400002,90.540001,14082500,76.246094,27.290001,27.309999,26.700001,26.719999,24812200,23.1399,43.810001,43.889999,43.419998,43.490002,14697000,37.847523,105.160004,105.260002,103.629997,103.639999,8740800,92.432968,65.849998,65.925003,65.035004,65.110001,7400800,61.785545,80.980003,81.029999,80.199997,80.290001,9864200,70.403923,59.86784,60.245438,59.056011,59.07489,7630900,53.509068,118.830002,121.089996,118.639999,119.220001,3945800,111.524002,46.490002,46.689999,46.029999,46.099998,15508600,37.729607,114.129997,114.480003,111.980003,112.010002,9375000,105.675072
148.210007,148.600006,146.759995,146.919998,5736400,130.568939,69.129997,69.129997,67.57,67.870003,17898900,63.077866,108.910004,109.519997,105.809998,106.029999,96453300,98.847519,144.410004,144.410004,138.889999,139.580002,9952000,124.22049,64.599998,65.870003,64.099998,65.110001,13490900,56.592587,90.059998,91.269997,89.300003,89.809998,20167200,75.631355,26.6,26.82,26.26,26.27,36732700,22.750193,43.360001,43.419998,42.5,42.5,24583700,36.98597,103.080002,103.080002,101.949997,101.949997,14966000,90.92572,64.864998,65.264999,64.184998,64.260002,13804600,60.978935,79.949997,80.120003,78.129997,78.129997,21342100,68.509888,58.722466,59.36438,58.112019,58.112019,13770000,52.636921,118.610001,118.860001,115.82,115.82,7574800,108.343498,45.900002,46.040001,45.560001,45.560001,31635100,37.28767,112.010002,112.440002,107.349998,107.720001,28376900,101.627708
147.580002,148.330002,146.690002,147.479996,2284400,131.066574,68.150002,68.769997,67.989998,68.400002,4733400,63.570435,107.279999,107.370003,105.57,107.330002,47590600,100.059456,140.210007,141.940002,139.699997,140.899994,3746400,125.395226,65.589996,65.82,64.379997,65.239998,5311500,56.705582,90.400002,90.699997,88.209999,89.239998,12852300,75.151337,26.58,26.65,26.41,26.639999,20242900,23.070614,42.82,42.939999,42.459999,42.779999,10444400,37.229641,102.339996,102.919998,100.849998,101.580002,8321900,90.595718,64.839996,65.154999,64.305,64.900002,8972600,61.586258,78.629997,78.980003,78.150002,78.949997,9105800,69.228905,58.539963,59.087475,58.332283,58.911266,13838300,53.360855,116.57,117.769997,116,117.410004,3185200,109.830849,45.73,45.919998,45.52,45.900002,10360600,37.565929,108.800003,110.099998,105.330002,106.589996,22847200,100.5616
